,name,id,nametype,recclass,mass (g),fall,reclat,reclong,GeoLocation,Year,City,Country
32027,Plymouth,18850,Valid,"Iron, IIIAB",14000.0,Found,41.33333,-86.31667,"(41.33333, -86.31667)",1893.0,plymouth,us
31010,Oroville,18032,Valid,"Iron, IIIAB",24500.0,Found,39.68333,-121.63333,"(39.68333, -121.63333)",1893.0,paradise,us
814,Pricetown,18888,Valid,L6,900.0,Fell,39.11667,-83.85,"(39.11667, -83.85)",1893.0,wilmington,us
37688,South Bend,23675,Valid,"Pallasite, PMG",2500.0,Found,41.65,-86.21667,"(41.65, -86.21667)",1893.0,south bend,us
3452,Arlington,2333,Valid,"Iron, IIE-an",8940.0,Found,44.6,-94.1,"(44.6, -94.1)",1894.0,saint peter,us
16388,Hildreth,11885,Valid,L5,3060.0,Found,40.33333,-99.03333,"(40.33333, -99.03333)",1894.0,kearney,us
36735,Sam's Valley,23116,Valid,"Iron, IIIAB",6920.0,Found,42.53333,-122.875,"(42.53333, -122.875)",1894.0,central point,us
301,Fisher,10107,Valid,L6,17600.0,Fell,47.81667,-96.85,"(47.81667, -96.85)",1894.0,grand forks,us
5366,Canton,5254,Valid,"Iron, IIIAB",7030.0,Found,34.2,-84.48333000000001,"(34.2, -84.48333)",1894.0,canton,us
16556,Jerome (Kansas),12083,Valid,L4,29600.0,Found,38.76667,-100.73333000000001,"(38.76667, -100.73333)",1894.0,garden city,us
26364,Ness County (1894),16946,Valid,L6,82000.0,Found,38.5,-99.6,"(38.5, -99.6)",1894.0,hays,us
36011,Reed City,22552,Valid,"Iron, ungrouped",20000.0,Found,43.86667,-85.51666999999999,"(43.86667, -85.51667)",1895.0,big rapids,us
16371,Hayden Creek,11864,Valid,"Iron, IIIAB",270.0,Found,45.0,-114.0,"(45.0, -114.0)",1895.0,hamilton,us
31011,Oscuro Mountains,18035,Valid,"Iron, IAB-MG",3600.0,Found,33.63333,-106.38333,"(33.63333, -106.38333)",1895.0,socorro,us
30956,Oakley (stone),17973,Valid,H6,27700.0,Found,38.95,-101.01666999999999,"(38.95, -101.01667)",1895.0,garden city,us
